station_id,station_name,station_latitude,station_longitude
SF-O21,Mission Dolores Park,37.761,-122.427
SF-O22,Mission Playground,37.759,-122.421
SF-O23,19th St at Mission St,37.76,-122.419
SF-O24,Folsom St at 19th St,37.761,-122.415
SF-O25-1,19th St at Florida St,37.76,-122.411
SF-O25-2,20th St at Bryant St,37.759,-122.41
SF-O30,Esprit Park,37.762,-122.391
SF-O30,Esprit Park (19th St at Minnesota St),37.762,-122.391
SF-O30-2,Illinois St at 20th St,37.76,-122.387
SF-Outside Lands-Temp,Outside Lands,37.771,-122.479
SF-P1,Lower Great Hwy at Noriega St,37.753,-122.509
SF-P2,45th Ave at Noriega St,37.753,-122.504
SF-P21,20th St at Dolores St,37.758,-122.426
SF-P22,Valencia St at 21st St,37.757,-122.421
SF-P24,Harrison St at 20th St,37.759,-122.412
SF-P24,Harrison St at 20th St,37.759,-122.413
SF-P26,22nd St at Potrero Ave,37.757,-122.406
SF-P30,22nd St Caltrain Station,37.758,-122.392
SF-P6,30th Ave at Noriega St,37.754,-122.488
SF-P7,26th Ave at Noriega St,37.754,-122.484
SF-P8,21st Ave at Noriega St,37.754,-122.479
SF-Q21-1,Dolores St at 22nd St,37.755,-122.426
SF-Q21-1,22nd St at Dolores St,37.755,-122.426
SF-Q21-2,24th St at Chattanooga St,37.752,-122.427
SF-Q21-2,24th St at Chattanooga St,37.752,-122.426
SF-Q22-1,Valencia St at 22nd St,37.755,-122.421
SF-Q22-2,Valencia St at 24th St,37.753,-122.421
SF-Q22-2,Valencia St at 24th St,37.752,-122.421
