listing_id,host_id,host_since,name,neighbourhood,district,property_type,room_type,bedrooms,price,number_of_reviews,review_scores_rating
53598384,4212095,2012-11-21,Fantastic Brand New 3Br Apt,les Corts,Les Corts,Entire rental unit,Entire home/apt,3.0,115.0,7,4.71
737552755354415005,483006743,2022-10-10,Habitación doble de hotel,Sant Antoni,Eixample,Room in hotel,Private room,1.0,132.0,1,5.0
34954283,263382746,2019-05-22,Cozy suite with Metro Horta,Horta,Horta-Guinardó,Private room in rental unit,Private room,1.0,31.0,16,4.69
14676014,1447144,2011-11-27,pg LARGE 3 BEDROOM 3 BATH FLAT MAX 10 HAPPY PEOPLE,el Coll,Gràcia,Entire rental unit,Entire home/apt,3.0,313.0,2,4.0
8734389,45827229,2015-10-05,LUX DOUBLE SIZE WT BATHROM IN SUITE,la Sagrera,Sant Andreu,Private room in rental unit,Private room,1.0,81.0,294,4.81
676548760671832747,48645551,2015-11-10,Premium Apartment,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,1.0,134.0,2,5.0
842506733829359451,33278356,2015-05-13,Ola Living Merce Arena 5,el Barri Gòtic,Ciutat Vella,Entire rental unit,Entire home/apt,4.0,159.0,0,
690409238670010658,164216011,2017-12-26,Single Room in Classy Barcelona apartment,el Raval,Ciutat Vella,Private room in rental unit,Private room,1.0,83.0,5,4.6
35019610,96555392,2016-09-24,Comfortable single room with private bathroom,el Guinardó,Horta-Guinardó,Private room in rental unit,Private room,1.0,36.0,119,4.87
12698020,33776136,2015-05-19,Unique little room with private bath in The Born,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Private room in rental unit,Private room,1.0,30.0,244,4.84
41845684,83716055,2016-07-14,"TARRADELLAS_3, PARA 10 PERSONAS, muy cerca Estació de Sants, llegada tren aeropuerto, muy bien comunicado y rodeado de comercios y restaurants",Sants,Sants-Montjuïc,Entire rental unit,Entire home/apt,4.0,263.0,10,4.1
171816,400154,2011-02-19,Sagrada Familia Clot Vista - Wifi/Private/Clean,el Clot,Sant Martí,Entire rental unit,Entire home/apt,2.0,130.0,31,4.6
756325502673572559,487005811,2022-11-09,Barna1Downtown,el Barri Gòtic,Ciutat Vella,Private room in rental unit,Private room,1.0,78.0,6,5.0
6439762,33623144,2015-05-18,luxurious sea view 3 bedroom,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,Entire rental unit,Entire home/apt,3.0,283.0,2,3.0
51314368,4459553,2012-12-21,AB Sagrada Familia Views 5-1,la Sagrada Família,Eixample,Entire rental unit,Entire home/apt,3.0,500.0,25,4.04
53583539,334500480,2020-02-08,Comfortable double room. Center,la Dreta de l'Eixample,Eixample,Private room in rental unit,Private room,1.0,41.0,38,4.5
6670509,5729069,2013-04-02,4 apartments in Olympic zone,el Parc i la Llacuna del Poblenou,Sant Martí,Entire rental unit,Entire home/apt,9.0,1200.0,1,5.0
2170203,6099660,2013-04-26,CLASSBEDROOM FIRA BUSINESS APARTMENT,el Poble Sec,Sants-Montjuïc,Entire rental unit,Entire home/apt,3.0,240.0,55,4.69
